A. Ganeshamurthi,Elected,18-May-09,In office,Tamil Nadu,Erode,Marumalarchi Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",66,30,0,377,71%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,45.5,0.4,362,69%
A.K.S. Vijayan,Elected,18-May-09,In office,Tamil Nadu,Nagapattinam,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Madras University, Chennai, Tamil Nadu",51,28,0,373,56%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,45.5,0.4,362,69%
A.T. Nana Patil,Elected,18-May-09,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,M.Com (2nd Year Appearing),52,67,10,579,81%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,28,1.7,468,74%
Abdul Mannan Hossain,Elected,18-May-09,In office,West Bengal,Murshidabad,Indian National Congress,Male,Graduate,B.A.; Educated at R.K.N.College,61,0,0,0,59%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,42.5,0.8,167,72%
Abdul Rahman,Elected,18-May-09,In office,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Economics), Diploma in Computer Programming; Educated at Jamal Mohamed College, Tiruchhrappalli, Tamil Nadu, Institute of Business Applications, Chennai.",54,33,0,529,67%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,45.5,0.4,362,69%
Abhijit Mukherjee,Elected,13-Oct-12,In office,West Bengal,Jangipur,Indian National Congress,Male,Graduate,"B.E. (Mech.), F.I.E./Chartered Engineer
Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata",53,2,0,10,99%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),7.7,0.2,65,76%,8.3,0.1,35,72%
Abu Hasem Khan Choudhury,Elected,18-May-09,In office,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,,75,3,0,8,77%,"This MP was appointed a minister in October 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th September, 2012. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",28.8,0.6,215,76%,34.2,0.8,132,72%
Adagooru H Vishwanath,Elected,18-May-09,In office,Karnataka,Mysore,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Mysore University and Sharada Vilasa La College, Mysore, Karnataka",63,2,0,302,62%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,20.2,0.2,323,68%
Adhi Sankar,Elected,18-May-09,In office,Tamil Nadu,Kallakurichi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at University of Madras (Tamil Nadu) ",56,11,0,175,57%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),36.5,0.8,281,76%,45.5,0.4,362,69%
Adhir Ranjan Chowdhury,Elected,18-May-09,In office,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",57,88,18,309,82%,"This MP was appointed a minister in October 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th September, 2012. (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",28.8,0.6,215,76%,34.2,0.8,132,72%
Agatha K. Sangma,Elected,18-May-09,In office,Meghalaya,Tura,Nationalist Congress Party,Female,Post Graduate,M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws,33,0,0,0,47%,"This MP was a Minister. She tendered her resignation on 28th October, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th October, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",7.7,0.2,65,76%,6.9,0,16,N/A
Ajay Kumar,Elected,01-Aug-11,In office,Jharkhand,Jamshedpur,Jharkhand Vikas Morcha (Prajatantrik),Male,Professional Graduate,"MBBS, IPS",51,52,3,159,77%, (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.),20.6,0.4,162,76%,25.2,0.6,126,67%
Ajay Maken,Elected,18-May-09,In office,Delhi,New Delhi,Indian National Congress,Male,Graduate,B.A.; Educated at University of Delhi,49,0,0,0,33%,"This MP was a Minister. He tendered her resignation on 16th Juner, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th August, 2013 (Data corresponds to the period 4 Jun 2009 to 6 Sep 2013.)",2.9,0,16,76%,1,0,12,84%
